"state","number_deaths","month","year"
"AC",296,1,2019
"AL",1377,1,2019
"AP",284,1,2019
"AM",1203,1,2019
"BA",6113,1,2019
"CE",3613,1,2019
"DF",1199,1,2019
"ES",2177,1,2019
"GO",2932,1,2019
"MA",1932,1,2019
"MT",1082,1,2019
"MS",1363,1,2019
"MG",11256,1,2019
"PA",2287,1,2019
"PB",2277,1,2019
"PR",5962,1,2019
"PE",5141,1,2019
"PI",1387,1,2019
"RJ",12582,1,2019
"RN",1505,1,2019
"RS",7063,1,2019
"RO",755,1,2019
"RR",186,1,2019
"SC",3590,1,2019
"SP",27832,1,2019
"SE",1070,1,2019
"TO",560,1,2019
"AC",299,2,2019
"AL",1215,2,2019
"AP",220,2,2019
"AM",1155,2,2019
"BA",5517,2,2019
"CE",3102,2,2019
"DF",1064,2,2019
"ES",1761,2,2019
"GO",2434,2,2019
"MA",1760,2,2019
"MT",940,2,2019
"MS",1149,2,2019
"MG",9043,2,2019
"PA",2081,2,2019
"PB",2011,2,2019
"PR",4930,2,2019
"PE",4521,2,2019
"PI",1090,2,2019
"RJ",10850,2,2019
"RN",1239,2,2019
"RS",6147,2,2019
"RO",618,2,2019
"RR",125,2,2019
"SC",3142,2,2019
"SP",22861,2,2019
"SE",958,2,2019
"TO",432,2,2019
"AC",328,3,2019
"AL",1331,3,2019
"AP",252,3,2019
"AM",1244,3,2019
"BA",5435,3,2019
"CE",3490,3,2019
"DF",1182,3,2019
"ES",1997,3,2019
"GO",2602,3,2019
"MA",1762,3,2019
"MT",1180,3,2019
"MS",1184,3,2019
"MG",9690,3,2019
"PA",2211,3,2019
"PB",2153,3,2019
"PR",5418,3,2019
"PE",4984,3,2019
"PI",1195,3,2019
"RJ",11324,3,2019
"RN",1348,3,2019
"RS",6502,3,2019
"RO",464,3,2019
"RR",164,3,2019
"SC",3146,3,2019
"SP",23564,3,2019
"SE",1075,3,2019
"TO",427,3,2019
"AC",331,4,2019
"AL",1510,4,2019
"AP",293,4,2019
"AM",1229,4,2019
"BA",5728,4,2019
"CE",3976,4,2019
"DF",1257,4,2019
"ES",2030,4,2019
"GO",2900,4,2019
"MA",1911,4,2019
"MT",1212,4,2019
"MS",1302,4,2019
"MG",10682,4,2019
"PA",2339,4,2019
"PB",2405,4,2019
"PR",5819,4,2019
"PE",5290,4,2019
"PI",1290,4,2019
"RJ",12310,4,2019
"RN",1557,4,2019
"RS",6872,4,2019
"RO",768,4,2019
"RR",194,4,2019
"SC",3297,4,2019
"SP",25455,4,2019
"SE",1098,4,2019
"TO",501,4,2019
"AC",316,5,2019
"AL",1658,5,2019
"AP",250,5,2019
"AM",1218,5,2019
"BA",6184,5,2019
"CE",3976,5,2019
"DF",1294,5,2019
"ES",2168,5,2019
"GO",2919,5,2019
"MA",2068,5,2019
"MT",1247,5,2019
"MS",1395,5,2019
"MG",11369,5,2019
"PA",2577,5,2019
"PB",2496,5,2019
"PR",6222,5,2019
"PE",5458,5,2019
"PI",1448,5,2019
"RJ",13464,5,2019
"RN",1656,5,2019
"RS",7348,5,2019
"RO",747,5,2019
